Altitude,Catchment area,Catchment height,Absorbance Coefficient,Ammonia,Cloud Cover,Dissolved Oxygen Saturation,Dissolved Reactive Phosphate,E Coli,Electrical Conductivity,Nitrate + Nitrite,Total Nitrogen,Total Phosphate,Turbidity,Water Temp,pH
10,605,339,4.3,3,1,103.6,2.7,70.3,105.9,129,207,4,0.45,14.1,7.38
15,5139,470,4.4,12,0,95.2,7,108,89.2,938,1103,22,3.1,14.7,7.28
15,270,107,14.5,9,3,93,9.4,121,194,113,316,38,6.6,15.7,7.6
10,12429,383,4.6,5,4,104.4,6.8,56.3,152,168,481,62,6.2,17.4,7.95
220,1139,694,1.9,5,2,99.5,2,10.7,53.8,523,601,3,0.66,13.7,7.15
10,82,228,26.1,31,7,62.4,13.1,41,228,82,454,55,5.1,13.7,7.04
200,87,576,2.5,2,1,100.7,3.6,0,70.8,10,60,4,0.37,11.3,7.65
259,787,787,1.1,7,4,101.3,4.3,24.7,50.8,254,315,9,1.5,12.3,7.3
11,1376,607,1.5,2,1,102.9,9,0,101.7,1,44,12,1.2,15,7.93
17,2368,322,3.1,5,0,135.9,1.9,4.1,177,300,524,13,1.2,18,8.79
10,305,248,4,15,4,108.7,2.6,8.4,165,341,483,10,0.85,18.6,8.2
10,1127,202,4,16,5,94,57.2,78.5,121,1323,1486,108,6.5,17.4,7.33
9,20582,790,1.6,4,4,104.9,1.7,33.6,68.4,37,98,7,2.4,15.2,7.87
268,78,829,1.6,2,1,102.3,2.4,5.2,67.2,9,37,3,0.32,15.8,7.73
320,2423,690,8.5,10,7,99.3,13,93.2,117.8,73,333,34,1.8,15.6,7.76
80,304,413,3.4,14,7,99.9,9.9,648.8,62.9,204,338,19,1.2,13.7,7.22
220,151,672,14.1,13,7,92.9,6.3,235.9,49.5,40,308,24,0.85,16.6,7.23
20,4716,605,10.3,14,4,102.2,8,58.3,91.3,55,315,25,1.2,17.1,7.62
10,2822,201,8.8,10,3,92.7,24.1,143.9,133,681,942,82,6.7,18.7,7.35
15,8431,486,2.6,6,4,112.6,3.6,21.1,158,129,385,29,1.8,17.1,8.09
30,122,237,2.7,3,7,96.4,6,17.1,128,11,75,9,0.57,16.9,7.63
10,307,151,8.7,9,5,102.9,3,93.3,121,99,357,18,2.1,19.4,7.6
21,809,231,6.5,9,8,92.6,4,240,168,11,232,20,2.6,18.7,7.63
91,546,159,12.2,5,8,110,15,90.9,110.8,23,239,49,5.3,18.7,7.44
376,166,1049,0.8,3,1,101,2.9,0,121.4,15,38,5,0.23,12.7,8.18
91,16548,902,0.9,1,7,103.3,0.8,46.4,69.5,22,73,6,1.4,14,7.87
15,1114,257,5.3,9,7,105.5,3,41.3,112.4,5,258,17,1.1,19.9,8.09
320,414,455,0.6,1,2,109.7,3.1,52.8,518,0,95,11,0.42,17.5,8.16
320,19,725,1.8,2,2,100.9,12,137.6,69.9,8,51,17,0.42,14,7.61
76,1750,613,2,1,1,115.1,0.9,7.4,137,97,211,8,0.48,17.1,8.61
30,216,297,6,28,4,106,31.8,53.8,217,1844,2129,63,1.6,17.9,8.06
305,4453,973,0.3,1,5,106.6,0.6,0,70.9,38,106,2,0.25,13.4,8.16
6,914,374,7.1,77,3,77.8,84,90.9,360,432,690,125,4.4,18.1,7.3
3,2818,482,2.5,4,5,112.7,2.2,17.3,97.6,529,693,25,1.3,17.1,7.02
305,4302,1043,0.3,7,8,102.8,1.4,4.1,63.9,25,64,26,2.7,13,7.9
320,1079,1200,0.7,3,8,102.4,1,12.1,82.2,11,34,75,22.9,11.1,7.92
18,6567,423,4.7,3,0,104.9,1.6,42.8,137,0,166,12,1.7,21.3,7.84
53,1027,1009,1.3,1,8,98.6,1.1,12.1,55.6,18,47,14,5.6,8.8,7.48
183,1404,888,1.2,2,8,100.6,1,23.8,55.3,19,67,3,0.25,14.2,7.69
244,2387,1034,0.6,2,8,103.5,1.2,241.5,66.9,58,84,5,3.9,12.5,7.8
363,786,1005,0.7,3,1,103.1,18.2,7.4,107.1,4,71,24,0.6,11.6,7.77
518,2689,864,2.2,3,4,102.6,1.1,37.3,150,7,121,6,0.61,15.6,8.09
655,521,1422,0.6,1,3,101.8,3.4,4.1,43.3,4,23,5,0.54,10.3,7.61
442,1060,976,0.9,1,7,104,0.8,6.3,69.8,2,39,4,0.62,13.1,7.84
70,3451,746,2.3,3,6,101.9,1.2,108.1,192,1,147,9,0.98,18.6,7.97
349,3305,655,0.4,2,1,107.5,2,2,120.2,2,72,7,0.29,16.5,8.01
131,2139,553,5.2,8,0,110.2,2.7,40.8,108.2,131,293,13,1.1,19,8.19
152,716,371,4.1,23,1,106.2,2.3,18.5,330,302,547,16,1.2,17.7,8.15
60,2525,648,1.2,2,3,109.5,1.8,17.3,93.1,368,438,5,0.87,16.9,8.2
37,3916,333,4.2,8,6,115.6,1.6,64.4,206,297,476,11,1.6,18.7,7.91
76,3076,854,0.7,2,7,103.7,1.2,101.4,69.8,51,86,3,3.2,15.7,7.89
205,509,528,2.9,7,1,103.3,16.7,18.5,85.7,24,147,30,0.96,17.6,7.98
10,4846,333,4.6,67,5,126.1,8.2,56.3,204,367,662,34,2.4,19.1,8.03
185,1144,599,1.7,7,1,103.3,17.6,9.8,93.8,1203,1322,28,1.4,16,7.76
3,3494,847,0.6,4,1,106.7,2.4,3,62.2,79,143,3,0.55,20.3,7.68
238,458,1020,3.5,6,8,101.3,1.3,139.6,45.2,373,534,7,1.1,11.7,7.49
180,406,627,2.2,9,8,96.7,4.1,128.1,90.4,1020,1175,7,0.56,12.9,7.49
4,2373,542,2.2,5,8,92.8,5.1,33.6,82.4,617,774,9,0.31,14,7.41
5,11909,956,0.8,4,8,99.4,1.6,387.3,62.2,82,189,6,1.6,13.8,7.63
250,9741,1047,0.9,5,8,103.8,1.5,7.4,56.4,6,82,5,1.4,13.7,7.8
198,896,695,2.4,5,8,97.6,5,32.3,105.4,98,253,7,0.26,14.2,7.56
425,293,622,6.5,6,6,100.8,7.2,920.8,88.5,2,190,25,2.3,15.9,7.79
457,30.5,722,5.9,6,6,104,2.7,435.2,188,61,241,12,0.8,14.3,8.34
55,1571,385,4.1,4,2,104.2,0.9,111.9,525,75,269,33,40,21.2,8.12
329,121,863,0.9,4,8,96.8,4.6,15.6,106.8,14,41,6,0.83,16,7.76
26,2438,342,2.3,13,6,111.5,6.1,16.1,242,935,1118,16,0.75,20.9,8.41
11,1376,607,1.2,3,7,101.5,12.6,3.1,106.3,2,58,16,0.59,20.5,7.92
488,384,1108,0.9,3,8,100.9,3,3,104.8,4,33,5,0.37,16.5,8.09
2,2001,663,1,11,5,103.1,8.2,55.6,172,113,229,12,0.7,21.6,8.19
320,1040,820,1.6,3,3,103.9,2,8.5,104.5,337,461,7,0.32,17.6,8.11
15,6309,736,1.4,7,8,98.8,1.4,10.9,78.8,58,123,3,0.26,19.2,7.78
15,2371,732,2.2,5,6,108.5,3.8,4.1,140,112,215,11,1.2,22.2,8.38
171,642,774,1.5,3,4,106.2,2.3,6.2,70.3,16,80,3,0.19,18.3,7.71
20,3827,485,2.6,5,6,113.2,1.4,38.2,70.4,87,174,5,0.34,18.1,7.83
15,270,107,16.9,12,8,94,11.8,143.9,208,30,302,41,5.2,20.2,7.81
10,82,228,27.8,36,7,44.8,20.4,113.7,234,59,490,75,4.3,18.3,7.03
320,414,455,0.7,2,3,114.8,6.5,3.1,516,1,106,11,0.35,21.2,8.4
6,914,374,7.5,54,4,76.9,87,96,364,394,664,125,4.1,19.6,7.4
3,2818,482,2.5,16,3,112.2,13.3,42.6,97.5,573,709,34,1.2,20,7.34
10,605,339,2.3,7,8,99,3.6,135.4,113.7,197,291,4,0.54,15.5,7.22
200,87,576,2.2,3,8,100.2,4.9,1,76.4,3,51,5,0.36,12.7,7.67
17,2368,322,2.3,13,8,108.3,13.9,42.6,184,415,610,23,3,17.1,7.94
85,640,351,1.9,18,8,115.2,5.9,85.7,223,981,1103,12,0.53,16.7,7.87
268,78,829,1.5,7,8,99,3.9,26.2,71.4,12,53,4,0.44,14.6,7.74
91,16548,902,0.8,4,5,101.5,0.9,22.8,70.9,16,69,8,1.2,16.4,7.91
376,166,1049,0.9,4,8,101.3,4.4,1,132,8,34,4,0.2,15.5,8.28
425,293,622,4.3,9,7,98,16,29.4,102.7,5,162,31,0.82,19.4,7.72
76,1750,613,2.3,8,6,114.9,4,14.5,150,102,194,6,0.44,19.8,8.74
213,258,701,2.5,3,7,105,1.9,0,39.9,1,81,5,0.32,16.4,7.65
305,4453,973,0.4,4,3,107.5,1.4,1,72.7,28,71,3,0.7,16.3,8.24
457,30.5,722,5.3,12,8,100.9,4.7,727,226,31,289,18,1.2,17.3,8.28
305,4302,1043,0.6,13,3,105.5,3.5,10.8,64.7,25,79,31,5.2,15.4,7.95
14,8098,665,3.1,6,4,118.1,2.8,20.3,78.2,227,354,5,0.6,18.1,8.27
320,1079,1200,1.2,5,4,99.3,2.3,35,88.1,14,49,62,14,16.7,7.95
55,1571,385,3.1,5,8,99.2,1.4,113.7,563,51,202,8,4.7,22.5,8.08
5,2150,449,2,8,2,111.8,6.7,12.1,102.9,873,1039,10,0.84,20.4,7.96
244,2387,1034,0.4,3,8,99.9,3.2,143.9,73.2,77,99,3,1.9,14.8,7.73
183,1404,888,1.2,2,2,100.3,1.4,17.3,56.9,9,58,3,0.32,15.9,7.72
15,5139,470,4.1,23,7,91.9,7.5,85,109.6,1069,1314,28,2.5,17.1,7.49
442,1060,976,1.1,1,7,104.2,2.3,34.1,77.1,3,52,4,0.46,15.4,7.94
53,1027,1009,0.7,1,0,98.8,1.6,1,69.5,24,50,7,6.45,9.9,7.71
655,521,1422,0.4,2,3,100.8,5.4,0,47.7,3,15,11,0.41,11.3,7.67
10,12429,383,3.3,5,2,99.4,20.7,201.4,164,182,385,46,3.3,22.6,7.72
220,1139,694,1.4,6,1,97.8,3.5,26.2,63.5,852,940,5,0.4,16.2,7.11
60,2525,648,1,4,8,108,5,110.6,106.8,544,618,5,0.67,17,8.2
259,787,787,0.8,8,0,100.9,5.5,45.7,59.6,321,408,10,1.5,13.5,7.32
10,305,248,5.7,14,6,114.9,3.6,20.2,171,339,591,15,1.2,24.5,8.67
76,3076,854,0.5,3,3,104.9,2.9,82,74.3,90,119,4,1.7,18,7.98
10,1127,202,3.6,17,5,97.5,60.5,238.2,110.4,1063,1205,94,4.5,20.3,7.4
9,20582,790,1.1,3,2,104.2,1.8,143.9,72.2,14,89,6,1,17.7,8.1
3,3494,847,0.6,5,3,103.9,4.5,1,68.4,116,163,7,0.51,19.8,7.63
238,458,1020,2.9,9,8,100.2,2.4,81.3,42.7,287,440,7,1.3,12.9,7.47
320,2423,690,9.9,11,4,99.8,16.5,152.9,127,34,335,44,2.05,16.3,7.84
180,406,627,2.2,10,8,95.3,5.9,275.5,94.3,923,1082,10,0.7,15.2,7.53
4,2373,542,1.9,9,8,92.9,3.5,63.1,79.1,397,473,4,0.3,16.2,7.42
80,304,413,3.8,13,8,95.8,9.7,248.9,68.9,152,287,21,1.2,19.3,7.16
30,122,237,3,5,8,94,6.7,275.5,132,10,83,11,0.65,20.9,7.68
10,307,151,9.7,6,8,93.3,5.2,2419.2,131,7,220,20,1.95,23.2,7.66
220,151,672,12.7,10,0,94.9,7.1,151.5,52.5,23,278,27,1.25,16.9,7.29
10,2822,201,8.7,11,8,92,34.4,133.3,144,522,799,80,5.3,22.6,7.41
5,11909,956,0.7,3,8,100.8,1.9,307.6,64.7,48,111,7,2.7,16.7,7.67
20,4716,605,14.1,19,7,104.5,11.8,461.1,94.1,117,494,38,2.15,18.6,7.66
250,9741,1047,0.3,5,8,106.3,1.4,46.5,60.8,6,51,3,1.1,17.6,7.89
198,896,695,1.9,6,8,104.2,3.8,70.8,108.3,33,180,6,0.36,17,7.73
21,809,231,7.7,17,8,86,11.1,920.8,182,32,258,30,3.05,23,7.72
15,8431,486,2.5,8,8,103.5,10,48,165,156,362,31,1.5,21.7,7.67
91,546,159,21.7,13,8,69.9,19.7,816.4,157,132,544,73,5.05,22.8,7.16
15,1114,257,19.6,64,8,98.7,12.2,5475,87.6,368,920,195,102,18.4,7.26
320,19,725,14.9,8,8,100.2,8.1,517.2,34.6,54,228,30,1.98,15.6,7.15
30,216,297,15.4,95,7,100.3,66.4,547.5,140,1201,1666,136,3.1,20.2,7.66
18,6567,423,22.5,10,8,94.9,6.1,8664,69.7,195,834,225,188,18.4,7.19
363,786,1005,5.3,3,8,100.5,10.5,122,41.5,33,146,47,30,13.2,7.34
518,2689,864,3.5,4,8,99.8,6.3,214.3,80.3,58,138,24,14.5,17.5,7.89
70,3451,746,4.7,8,8,95.1,7.6,1553.1,155,122,273,41,24,19.7,7.56
131,2139,553,14.9,11,8,95.4,9.4,2481,68.2,139,461,69,36,16.7,7.5
152,716,371,6.2,33,7,99.4,18.7,185,290,393,668,44,24,19.5,8.11
37,3916,333,11.1,19,8,96.4,11.4,1050,105.1,208,478,91,57,18.4,7.59
10,4846,333,12,29,3,96.6,16.1,2187,94.4,154,560,291,148,18.8,7.53
329,121,863,0.9,2,8,98.5,4.3,42.6,114.4,10,65,8,0.65,19,7.87
26,2438,342,2.6,4,8,147.1,3.6,6.3,202,7,228,22,6.05,25.5,9.28
488,384,1108,1.1,4,6,97.4,2.7,6.3,71.5,4,133,5,0.7,19.9,7.97
2,2001,663,1.2,5,7,117.2,5.7,8.5,150,39,109,12,2.25,23.9,8.78
15,270,107,22.3,9,4,87.6,15.1,119.8,196,37,301,53,6.45,22.6,7.81
15,6309,736,3.3,0,4,98.6,2.2,22.3,69.1,104,182,11,2.5,17.5,7.64
10,12429,383,4.8,2,3,103.6,11.7,52,162,123,411,55,6.05,23,7.74
10,82,228,37.7,40,4,38.9,23.6,165.8,227,80,615,91,5.4,20.2,7.05
320,1040,820,1.7,1,8,104,1.6,21.1,88.1,232,321,6,0.6,14.8,8.18
10,305,248,4.1,11,7,117.1,1.1,21.1,202,303,507,10,1.05,23.7,8.72
171,642,774,2.8,0,6,104.4,2,7.4,41.8,23,68,5,0.95,18.4,7.52
15,2371,732,1.9,2,8,111.5,1.8,19.5,115.1,36,129,8,1.75,17.7,8.61
10,1127,202,3.4,4,4,98.3,55.1,101.2,107.2,999,1090,80,3.65,20.2,7.49
20,3827,485,5.6,1,6,103.2,2.5,48,55.2,132,244,8,1.45,18.4,7.44
376,166,1049,0.9,1,0,100.3,3.2,5.2,106.7,28,67,5,0.34,13.5,8.09
91,16548,902,1,1,8,106.5,0.7,14.6,70.7,28,79,11,6.5,16.1,7.73
80,304,413,4.4,3,6,98.4,5.4,275.5,59.4,74,164,14,0.83,17.5,7.22
30,122,237,3.4,2,2,94,2.1,14.6,132,3,85,13,0.42,20.9,7.65
10,307,151,14.3,4,6,103.2,2.3,110,133,1,250,24,2,21.9,7.68
213,258,701,2.5,2,7,106.5,0.7,0,39.8,0,74,3,0.4,18.4,8.16
10,2822,201,8.5,3,4,99.7,13.4,104.3,125,283,531,69,7.1,22.8,7.6
305,4453,973,0.6,2,0,103.2,1.8,3.1,72.1,23,69,5,2.45,15.3,7.97
76,1750,613,2.4,1,2,108.8,1.3,19.7,136,139,229,6,0.39,19.4,8.28
14,8098,665,4,3,2,118.9,1.3,13.2,78.5,139,258,6,1.05,19.8,8.7
21,809,231,7.1,2,2,99.9,3,150,169,2,265,22,2.5,22.9,7.75
305,4302,1043,0.4,3,0,105.7,1.2,3.1,63,22,58,12,3.85,16.3,7.93
15,8431,486,3.2,1,1,110.1,6.2,60.1,164,105,332,33,2,23.2,7.98
91,546,159,19.4,3,6,110.4,14.9,41,121.9,5,246,61,4.1,24.1,7.44
320,1079,1200,1,1,3,103.6,1.5,3.1,101.3,17,44,54,22.5,17.8,8.03
5,2150,449,3.7,7,7,98.3,8,38.8,75.4,660,796,15,4.25,19.4,7.44
244,2387,1034,0.6,1,8,99.9,3.8,44.8,68.1,78,134,12,5.5,15.5,7.82
10,605,339,2.7,1,8,98.9,1.6,101.2,105.3,107,178,5,0.55,16.4,7.47
183,1404,888,1.7,1,6,100.3,1.1,16,54.8,25,97,5,0.95,16.7,7.86
15,5139,470,5.7,36,8,92.1,18.9,770.1,101.3,1051,1264,44,6.85,16.7,7.24
442,1060,976,1.4,1,8,103.5,1,17.9,69.7,2,54,6,2.6,15.4,7.91
655,521,1422,0.6,1,7,100.4,4.8,22.3,48,19,54,8,2.5,11.5,7.93
200,87,576,2.5,2,8,101.4,3.3,2,71.6,9,49,6,0.3,13.1,7.73
220,1139,694,3,4,8,90.8,3.6,71.2,58.8,706,803,6,1.15,14.8,7.1
11,1376,607,1.4,3,3,97.8,12.2,7.4,97,4,71,17,1.55,18.4,8.03
60,2525,648,1.1,1,8,102.7,2.1,83.3,88.4,342,406,7,2.75,16.5,7.95
259,787,787,1.7,8,8,93.8,6.6,260.2,53.4,284,353,11,1.95,12.3,7.22
17,2368,322,1.8,4,7,117.7,4.1,5.2,135,66,165,11,1.15,19.6,8.21
76,3076,854,0.5,1,8,103.1,2,103.6,66.9,78,105,13,9.25,17.8,7.85
85,640,351,1.7,13,8,117.3,4.5,42.6,178,417,523,10,0.5,19.5,8.01
9,20582,790,1.3,2,4,103.4,1.1,25.6,71.6,38,92,10,5.45,16.6,7.78
3,3494,847,1,1,8,104.5,2.9,1,63.3,100,160,7,1.95,18.5,7.79
268,78,829,1.6,3,8,101,3.7,66.3,64.5,10,44,5,0.35,16.7,7.76
320,2423,690,16.1,6,7,96.6,21,172.2,107.7,45,372,59,3.05,13,7.79
220,151,672,16.3,7,2,94.6,5.8,387.3,49.5,5,268,20,1.15,12.7,7.34
20,4716,605,15.7,6,4,101.5,11.5,142.1,82.5,28,331,34,1.95,16,7.66
15,1114,257,5,14,8,101.3,2,113.7,112.3,2,319,22,2.5,23.1,8.01
320,19,725,3.1,4,8,100.2,8.2,980.4,71.8,15,71,15,0.67,18,7.59
320,414,455,0.6,6,8,110.6,8.2,0,518,2,72,10,0.51,20.7,7.97
30,216,297,5.6,8,3,118.5,15.5,60.9,182,976,1204,40,1.4,22.2,8.34
6,914,374,9.8,79,8,70.3,86.4,435.2,368,420,705,132,4.45,19.5,7.27
3,2818,482,2.4,15,8,115.5,3,325.5,96.3,334,637,45,1.7,19.7,7.57
18,6567,423,4.1,1,7,103.1,0.8,13.2,138,0,124,11,1.3,24.8,7.92
363,786,1005,6,4,2,101.3,4.4,71.2,38.9,22,229,199,106,15.4,7.24
518,2689,864,1.5,8,0,101.5,4.5,8.4,154,2,66,5,0.4,21.2,8.16
70,3451,746,1.8,2,3,103.3,2.1,88,206,0,85,13,3.2,22.6,8.23
349,3305,655,0.4,1,2,105.7,1,1,119.1,1,55,4,0.22,20.1,8.09
131,2139,553,4.6,11,7,98.9,4.2,99,119.8,43,323,91,20,20.2,7.83
152,716,371,3.5,16,7,104,5.5,75.4,343,31,239,22,1.4,23,8.22
37,3916,333,3.1,4,4,112.1,1.7,39.9,243,1,181,13,1.5,23.3,8.11
205,509,528,7.9,6,5,101.1,29.8,1553.1,79.5,35,260,65,4.5,19.8,7.8
10,4846,333,4,70,4,167.8,2.2,22.6,240,250,585,22,1.7,23.9,8.96
185,1144,599,2.1,10,5,103,22,58.1,92.1,1213,1309,37,1.9,17.5,7.69
238,458,1020,4.5,1,8,99.7,1.3,57.6,39.8,180,348,11,2.4,14.7,7.45
180,406,627,2.7,5,8,94.8,4.9,133.4,90.2,803,969,7,0.46,14.4,7.44
4,2373,542,2.2,5,8,92.3,3.3,88,80.1,300,432,5,0.47,16,7.48
5,11909,956,0.9,1,8,93.6,0.8,54.6,63.7,59,127,19,24,15.1,7.45
250,9741,1047,1.3,3,8,99.3,1.1,33.6,58.6,12,74,15,21,15.8,7.69
198,896,695,2.1,2,8,94.4,2.7,21.6,101.8,5,153,11,0.36,15.3,7.54
425,293,622,7,16,8,100,9.8,2142,55.1,403,821,211,134,14.5,7.18
457,30.5,722,8.6,10,8,98.4,11.8,2382,89.4,434,678,38,31.5,15.8,7.72
55,1571,385,7.7,17,6,100.2,12.2,3873,274,365,719,196,250,19.3,8.31
53,1027,1009,0.2,0,0,98.3,2.6,11.9,89.7,33,41,5,1.7,11.4,7.84
329,121,863,4.7,3,0,96.3,7.1,28.1,77.9,71,108,17,9,15.2,7.75
26,2438,342,2.3,2,0,103.7,21.3,49.6,189,699,931,36,2.3,21.2,8.05
488,384,1108,1.2,0,3,98.1,3.6,13.2,70.4,11,73,5,1.5,16.6,7.99
2,2001,663,1.2,0,8,97.7,12.7,28.5,118.4,136,211,21,6.25,21.2,8
15,6309,736,17.2,3,8,99.3,2,260.2,42.8,32,169,36,4.1,17.5,7.44
171,642,774,18.1,4,8,97.9,4.5,2187,45.8,79,282,82,22.5,15.7,7.4
20,3827,485,9.3,3,8,96.7,5,1860,43.8,35,118,31,34.5,16.5,7.15
213,258,701,2.7,2,6,100.9,1.2,1,39.5,1,95,3,0.42,17.1,7.46
14,8098,665,8.6,5,8,97.7,1.6,613.1,49.6,83,266,39,12.5,16.7,7.51
5,2150,449,18.7,14,7,91.7,14.7,4611,72.8,902,1492,116,58,16.1,7.14
10,605,339,14.3,3,6,96.4,3.7,172.3,77.1,94,291,10,1.85,15.8,7.28
15,5139,470,18.8,41,7,91.3,41.7,6131,88.4,1027,1736,135,35,13.5,6.92
11,1376,607,2.2,1,8,98.1,14.6,44.3,94.9,63,122,25,4.1,20.6,7.84
30,122,237,3.5,1,8,94.4,5.9,93.2,114.8,7,75,32,1.5,20.9,7.5
200,87,576,8.3,1,7,100.8,3.1,26.9,55.6,17,97,6,0.65,13.9,7.5
220,1139,694,6.8,5,1,94.2,5,260.2,52.8,519,716,11,4.25,13.4,7.06
10,307,151,19.4,6,8,98.8,4.2,124.6,126.3,117,420,54,5.8,22.9,7.51
259,787,787,5.9,7,2,96.3,9.9,1413.6,46,163,294,29,12.5,11.9,7.1
320,1040,820,2.5,1,8,98.4,7.3,26.9,84.7,280,361,12,2.4,17,7.95
17,2368,322,5.9,3,7,98.6,11.4,139.6,71.5,108,216,19,3.6,17.7,7.57
85,640,351,4.7,5,8,103.5,6.2,64.4,96.1,203,303,14,4.95,18.7,7.65
15,2371,732,3.9,1,8,97.6,15.6,23.1,117.5,180,292,64,21,21.3,8.2
21,809,231,10.2,19,8,84.1,6.8,172.5,157,48,254,36,5.5,23.6,7.26
9,20582,790,4.9,3,1,103.2,9.8,1732.9,75.7,164,347,38,10.3,16.8,7.52
268,78,829,4.3,2,8,100.1,1.5,16,45,12,62,4,1,14.9,7.5
320,2423,690,23.8,8,1,94.1,37.1,816.4,75.7,56,616,94,9.4,14.2,7.35
220,151,672,24,7,7,95.5,6.7,727,47.9,7,465,28,1.7,12.1,7.11
20,4716,605,25.3,10,5,100.7,23.8,1413.6,77.7,100,708,86,12.3,15.1,7.49
10,12429,383,6.4,7,6,95,13.2,788,147,229,519,56,4.7,22.3,7.68
15,270,107,22.3,18,2,87.4,20,72.7,191,213,549,67,11,21.6,7.41
10,82,228,32.9,29,3,61.9,20.9,344.8,231,79,637,63,3.7,20.1,7.12
10,305,248,6.2,4,5,106.5,2,80.1,151,147,327,11,1,21.9,8.21
10,1127,202,6.5,14,6,87.3,41.8,65,107.7,882,1187,98,6.5,20.1,7.18
53,1027,1009,1.1,1,0,97.8,6.5,11,72.6,34,55,34,19.8,10.3,7.92
376,166,1049,0.4,0,2,100.6,1.9,1,127,9,25,5,0.16,16,8.27
91,16548,902,1,0,3,105.8,0.5,22.3,68.9,27,79,9,5,16.3,7.75
320,414,455,0.5,0,6,107.3,1.6,3.1,509,1,92,7,0.35,22.7,8.33
76,1750,613,1.6,2,6,111.3,1.3,14.6,156,92,172,4,0.26,20.4,8.49
80,304,413,4.7,2,5,102.5,5.9,410,57.5,81,223,14,0.96,19.5,7.36
305,4453,973,0.5,0,1,104.1,0.8,4.1,66.9,18,46,4,1.9,16.1,7.97
6,914,374,4.3,31,5,82.8,42.8,88.8,304,437,657,75,4.1,19,7.3
3,2818,482,2.8,2,5,123.6,2.5,46.4,91.4,440,697,42,3.8,19.5,7.28
10,2822,201,9.2,8,5,89.5,20.5,101.4,129,404,647,68,6.6,22.5,7.36
305,4302,1043,0.6,3,1,102.7,0.5,1,63.3,22,67,10,3.3,16,7.94
15,8431,486,3.5,12,5,99.8,12.5,47.1,141,206,420,32,1.3,22.2,7.61
320,1079,1200,1,1,1,102.4,1.1,13.5,107.8,18,47,48,26,14.7,8.02
244,2387,1034,0.6,0,0,100.2,3.3,41,65.1,71,91,10,5.5,14.5,7.78
183,1404,888,1.2,2,1,99,1.5,14.5,57.5,25,135,3,0.54,17.6,7.75
655,521,1422,0.3,1,1,100.8,2.5,8.5,48.4,1,14,5,0.47,10.9,7.7
442,1060,976,1.4,0,0,103.9,1.1,8.4,67.2,2,38,5,1.9,14.4,7.88
349,3305,655,0.4,0,7,103.3,1,2,118,1,58,5,0.19,19.8,8.08
60,2525,648,1.3,0,0,103.9,3.5,29.2,85.4,337,411,9,2.98,17.6,7.97
205,509,528,3.5,2,7,102.6,22.4,36.9,79.8,97,165,32,1.7,17.1,7.89
76,3076,854,1,1,0,101,3.4,6.3,67.4,163,194,25,26.4,20.3,7.8
185,1144,599,2.9,5,7,102.4,18.7,69.7,89.4,1234,1420,33,2.4,15.7,7.7
3,3494,847,0.5,1,3,112,1.7,0,67.6,36,94,4,0.65,20.2,7.92
238,458,1020,3.4,1,0,99,1.4,46,41.6,133,277,8,1.2,16.1,7.59
180,406,627,2.8,2,0,98.3,4.5,118.7,85.6,720,909,10,0.78,14.9,7.76
4,2373,542,2.4,4,2,96.7,3.3,38.8,83.8,371,515,8,0.59,16.9,7.7
5,11909,956,1.8,0,0,96.7,2.2,45.7,61.7,52,131,41,38.9,17.4,7.53
250,9741,1047,1.1,3,0,109.7,1.3,6.3,58.3,21,86,13,15.9,16.9,7.77
198,896,695,3,1,0,97.3,2.5,10.8,94.7,56,199,8,0.25,19,7.61
15,1114,257,6.3,5,8,107.7,1.6,54.6,116.6,4,210,12,0.98,23.1,8.32
425,293,622,5.1,1,5,99.4,4.4,101.7,89.4,2,146,16,1.2,19.1,7.73
320,19,725,2.5,3,8,100.7,11.4,106.7,70.8,16,65,17,0.53,16.8,7.73
30,216,297,6.5,21,7,110.3,31.4,66.3,196,1304,1670,59,2.1,20.3,8.25
457,30.5,722,5.4,10,3,104.4,6.4,648.8,195,17,217,16,1.19,18.4,8.32
18,6567,423,5.8,2,4,104.4,0.6,10.9,131,1,160,11,1.05,24.4,7.98
55,1571,385,4.3,1,3,106.5,1.2,727,477,81,267,45,74.5,25.8,8.28
363,786,1005,1.2,0,7,103,12.7,44.3,107.6,16,66,16,0.6,14.5,7.78
518,2689,864,1.9,3,2,99.8,2.8,29.8,142,2,74,8,1.02,20,8.09
70,3451,746,1.9,0,6,101.5,2.2,116.2,189,1,87,8,1.08,22.5,8.16
131,2139,553,3.8,3,4,114.5,1.8,160.7,120.5,11,133,12,1.09,19.5,8.49
152,716,371,3.6,9,3,99.3,4,114.5,303,5,250,18,1.3,22.1,8.25
37,3916,333,3.1,3,3,117.8,1.5,17.1,206,1,161,10,1.51,23.6,8.15
10,4846,333,3.6,9,6,178.8,2.7,35.9,205,106,345,19,1.2,23.8,9.26
329,121,863,0.8,12,7,98.9,6.6,13.4,106.1,10,34,6,0.55,17.2,7.72
26,2438,342,2,15,6,116.2,1.9,3,212,362,533,10,0.6,23.9,8.56
320,1040,820,1.8,2,8,107.9,1.9,9.7,97.9,247,306,5,0.6,16.2,8.4
15,2371,732,3,4,4,138.5,2.9,7.4,133,13,100,11,2.5,20.5,9.04
488,384,1108,0.9,3,7,99.1,3.3,6.3,97.9,2,23,4,0.25,15.9,7.94
